Date,High,Low,Open,Close,Amount,Count,Vol
2024-05-12 15:36:00,60714.51,60688.82,60714.51,60688.82,0.438351,29,26603.49057785
2024-05-12 15:37:00,60719.1,60688.82,60688.82,60708.86,0.048733,19,2958.00824662
2024-05-12 15:38:00,60708.86,60700.0,60703.16,60708.86,0.007414744618658217,8,450.10610396
2024-05-12 15:39:00,60767.11,60708.86,60708.86,60767.11,0.055369,20,3363.60376977
2024-05-12 15:40:00,60768.84,60748.31,60757.89,60764.65,0.07289156652354864,25,4428.74810936
2024-05-12 15:41:00,60778.56,60764.65,60764.65,60777.74,0.026035,18,1582.13679941
2024-05-12 15:42:00,60787.58,60773.84,60777.73,60787.58,0.013362531676214165,13,812.17947381
2024-05-12 15:43:00,60797.49,60787.87,60787.87,60796.78,0.053607,18,3258.82460435
2024-05-12 15:44:00,60796.78,60785.08,60796.78,60785.08,0.34435,17,20933.88579818
2024-05-12 15:45:00,60785.07,60765.72,60785.07,60765.72,0.297446,24,18079.09171043
2024-05-12 15:46:00,60765.72,60719.73,60765.72,60719.74,0.545507,20,33128.05354909
2024-05-12 15:47:00,60768.57,60719.74,60719.74,60768.57,0.129657,25,7875.90306071
2024-05-12 15:48:00,60795.01,60781.43,60781.43,60795.01,0.0660116548784167,13,4012.6866661999998
2024-05-12 15:49:00,60800.24,60794.29,60795.01,60800.24,0.006175,7,375.41953151
2024-05-12 15:50:00,60798.33,60791.14,60798.33,60791.14,0.084837,17,5157.73827153
2024-05-12 15:51:00,60775.13,60759.13,60775.13,60759.13,0.1416337528740532,16,8605.792671
2024-05-12 15:52:00,60747.21,60743.14,60747.21,60743.14,0.003283,3,199.42381897
2024-05-12 15:53:00,60751.73,60747.2,60747.2,60751.73,0.161177,12,9791.14473422
2024-05-12 15:54:00,60749.57,60737.57,60749.56,60737.57,0.13039464094922812,14,7920.75348077
2024-05-12 15:55:00,60731.17,60692.89,60731.17,60727.21,0.320188,46,19439.02310898
2024-05-12 15:56:00,60778.82,60730.16,60742.17,60765.8,1.188113,61,72183.05170181
2024-05-12 15:57:00,60778.49,60752.61,60752.61,60763.05,0.679039,48,41261.9884565
2024-05-12 15:58:00,60780.35,60757.74,60760.01,60780.35,0.148553,18,9027.41866552
2024-05-12 15:59:00,60822.44,60780.88,60780.88,60822.44,0.343613,26,20890.00771684
